#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         287    -5.45401    -5.45317  0.00120748
         288    -5.45436    -5.45318   0.0012033
         289    -5.45504    -5.45318  0.00119915
         290    -5.45571    -5.45319  0.00119505
         291    -5.45574     -5.4532  0.00119097
         292    -5.45609    -5.45321  0.00118693
         293    -5.45514    -5.45322   0.0011829
         294    -5.45516    -5.45322   0.0011789
         295    -5.45518    -5.45323  0.00117492
         296    -5.45487    -5.45323  0.00117096
         297    -5.45489    -5.45324  0.00116703
         298    -5.45426    -5.45324  0.00116312
         299    -5.45427    -5.45325  0.00115924
         300    -5.45428    -5.45325  0.00115538
         301    -5.45364    -5.45325  0.00115154
         302    -5.45365    -5.45325  0.00114773
         303    -5.45366    -5.45325  0.00114394
         304    -5.45334    -5.45325  0.00114018
         305    -5.45335    -5.45326  0.00113644
         306    -5.45302    -5.45325  0.00113273
         307     -5.4527    -5.45325  0.00112904
         308     -5.4527    -5.45325  0.00112537
         309    -5.45237    -5.45325  0.00112174
         310    -5.45269    -5.45325  0.00111812
         311    -5.45301    -5.45325  0.00111452
         312      -5.453    -5.45324  0.00111095
         313    -5.45267    -5.45324   0.0011074
         314    -5.45298    -5.45324  0.00110388
         315    -5.45232    -5.45324  0.00110038
         316     -5.4523    -5.45324   0.0010969
         317    -5.45164    -5.45323  0.00109345
         318    -5.45162    -5.45323  0.00109002
         319    -5.45128    -5.45322  0.00108662
         320    -5.45126    -5.45321  0.00108324
         321    -5.45091    -5.45321  0.00107989
         322    -5.45089     -5.4532  0.00107656
         323    -5.45184     -5.4532  0.00107324
         324    -5.45116    -5.45319  0.00106995
         325    -5.45114    -5.45318  0.00106667
         326    -5.45175    -5.45318  0.00106341
         327    -5.45205    -5.45317  0.00106016
         328    -5.45201    -5.45317  0.00105694
         329     -5.4523    -5.45317  0.00105373
         330    -5.45162    -5.45316  0.00105054
         331    -5.45158    -5.45316  0.00104738
         332    -5.45154    -5.45315  0.00104424
         333     -5.4515    -5.45315  0.00104111
         334    -5.45082    -5.45314  0.00103802
         335    -5.45045    -5.45313  0.00103495
         336    -5.44976    -5.45312  0.00103192
         337    -5.45004    -5.45312   0.0010289
         338       -5.45    -5.45311   0.0010259
         339    -5.44963     -5.4531  0.00102292
         340    -5.44926    -5.45308  0.00101998
         341    -5.44921    -5.45307  0.00101705
         342    -5.44851    -5.45306  0.00101416
         343    -5.44814    -5.45305  0.00101131
         344    -5.44777    -5.45303  0.00100848
         345    -5.44771    -5.45301  0.00100568
         346    -5.44766      -5.453  0.00100289
