#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         346     9.58899     9.84018    0.123883
         347     9.58012     9.83943    0.123528
         348     9.57361     9.83866    0.123175
         349     9.56595     9.83788    0.122825
         350     9.55996     9.83709    0.122477
         351     9.55352     9.83628     0.12213
         352     9.54593     9.83545    0.121786
         353     9.53932     9.83461    0.121444
         354     9.53226     9.83376    0.121104
         355     9.52618     9.83289    0.120766
         356     9.51967     9.83201     0.12043
         357     9.51342     9.83112    0.120096
         358     9.50533     9.83021    0.119764
         359     9.49963     9.82929    0.119434
         360     9.49703     9.82837    0.119106
         361     9.49187     9.82744    0.118779
         362      9.4877      9.8265    0.118455
         363     9.48238     9.82555    0.118132
         364     9.47946      9.8246    0.117812
         365      9.4761     9.82364    0.117493
         366     9.47301     9.82269    0.117176
         367     9.46948     9.82172     0.11686
         368     9.46693     9.82076    0.116547
         369     9.46464     9.81979    0.116235
         370     9.46402     9.81883    0.115925
         371     9.46226     9.81787    0.115616
         372     9.46217     9.81692    0.115309
         373     9.46021     9.81596    0.115004
         374     9.45851       9.815    0.114701
         375     9.45847     9.81405    0.114399
         376     9.45727      9.8131    0.114098
         377     9.45843     9.81216      0.1138
         378     9.45772     9.81123    0.113502
         379     9.45725     9.81029    0.113207
         380     9.45773     9.80936    0.112913
         381     9.45915     9.80844     0.11262
         382     9.46009     9.80753    0.112329
         383     9.46338     9.80663    0.112039
         384     9.46549     9.80575    0.111751
         385     9.46711     9.80487    0.111464
         386     9.46825     9.80399    0.111179
         387     9.47101     9.80313    0.110895
         388     9.47328     9.80228    0.110612
         389     9.47647     9.80145    0.110331
         390     9.47917     9.80062    0.110051
         391     9.48348     9.79981    0.109773
         392     9.48588     9.79901    0.109496
         393     9.48988     9.79822     0.10922
         394     9.49268     9.79745    0.108945
         395     9.49849     9.79669    0.108672
         396     9.50307     9.79595      0.1084
         397     9.50573     9.79522     0.10813
         398     9.50998      9.7945    0.107861
         399     9.51582      9.7938    0.107592
         400     9.51902     9.79311    0.107326
         401      9.5238     9.79244     0.10706
         402     9.52805     9.79178    0.106796
         403     9.53246     9.79114    0.106533
         404     9.53846     9.79052    0.106271
         405     9.54249      9.7899     0.10601
         406     9.54811     9.78931    0.105751
         407     9.55388     9.78873    0.105493
         408     9.56051     9.78817    0.105236
         409     9.56517     9.78762     0.10498
         410     9.57068      9.7871    0.104725
         411     9.57634     9.78658    0.104471
         412     9.58143     9.78608    0.104219
         413     9.58877     9.78561    0.103968
         414     9.59484     9.78515    0.103718
         415     9.60175      9.7847    0.103469
         416     9.60949     9.78428    0.103221
         417     9.61807     9.78388    0.102974
         418     9.62677     9.78351    0.102728
         419     9.63417     9.78315    0.102484
         420     9.63816     9.78281     0.10224
         421     9.64578     9.78248    0.101998
         422     9.65282     9.78217    0.101757
         423     9.65996     9.78189    0.101517
         424      9.6679     9.78162    0.101278
         425     9.67595     9.78137     0.10104
         426      9.6848     9.78114    0.100803
         427     9.69303     9.78094    0.100567
         428     9.70205     9.78075    0.100332
         429     9.71044     9.78059    0.100098
         430      9.7182     9.78044   0.0998656
         431     9.72675     9.78032   0.0996339
         432     9.73536     9.78021   0.0994034
         433     9.74333     9.78013   0.0991738
         434     9.75206     9.78006   0.0989453
         435     9.76085     9.78002   0.0987179
         436     9.76898     9.77999   0.0984915
         437     9.77928     9.77999   0.0982661
         438     9.78678     9.78001   0.0980417
         439     9.79432     9.78004   0.0978184
         440     9.80471      9.7801   0.0975961
         441       9.813     9.78017   0.0973748
         442     9.82202     9.78027   0.0971546
         443     9.83104     9.78038   0.0969353
         444     9.84007     9.78051   0.0967171
         445     9.84981     9.78067   0.0964999
         446     9.85953     9.78085   0.0962837
         447     9.86712     9.78104   0.0960685
         448     9.87681     9.78125   0.0958543
         449     9.88576     9.78149   0.0956411
         450     9.89539     9.78174   0.0954289
         451     9.90215     9.78201   0.0952177
         452     9.90957     9.78229   0.0950074
         453     9.91835     9.78259   0.0947982
         454     9.92777     9.78291   0.0945899
         455     9.93571     9.78325   0.0943826
         456      9.9457      9.7836   0.0941763
         457     9.95349     9.78397    0.093971
         458     9.96119     9.78436   0.0937666
         459     9.97021     9.78476   0.0935632
         460     9.97842     9.78519   0.0933607
         461     9.98722     9.78562   0.0931592
         462     9.99521     9.78608   0.0929587
         463     10.0031     9.78655   0.0927591
         464     10.0101     9.78703   0.0925604
         465     10.0191     9.78753   0.0923627
         466     10.0266     9.78804   0.0921659
         467     10.0325     9.78856   0.0919701
         468     10.0397      9.7891   0.0917751
         469      10.046     9.78965   0.0915811
         470     10.0521     9.79021   0.0913879
         471     10.0574     9.79077   0.0911957
         472     10.0632     9.79135   0.0910043
         473     10.0695     9.79194   0.0908138
         474     10.0757     9.79254   0.0906242
         475     10.0816     9.79315   0.0904354
         476     10.0888     9.79377   0.0902476
         477     10.0951      9.7944   0.0900606
         478     10.1019     9.79504   0.0898744
         479     10.1077      9.7957   0.0896892
         480      10.112     9.79635   0.0895048
         481      10.116     9.79702   0.0893211
         482     10.1205     9.79769   0.0891384
         483     10.1262     9.79837   0.0889564
         484      10.131     9.79906   0.0887753
         485     10.1349     9.79975   0.0885949
         486     10.1385     9.80045   0.0884154
         487     10.1412     9.80115   0.0882366
         488     10.1444     9.80185   0.0880586
         489     10.1466     9.80256   0.0878813
         490     10.1486     9.80326   0.0877048
         491     10.1518     9.80397   0.0875291
         492     10.1533     9.80468    0.087354
         493     10.1553     9.80539   0.0871797
         494     10.1578     9.80611   0.0870062
         495     10.1579     9.80682   0.0868333
         496     10.1591     9.80753   0.0866611
         497     10.1587     9.80823   0.0864897
         498     10.1609     9.80894   0.0863189
         499     10.1621     9.80965   0.0861488
         500     10.1631     9.81036   0.0859794
         501     10.1624     9.81106   0.0858107
         502     10.1628     9.81176   0.0856426
         503     10.1609     9.81245   0.0854751
         504     10.1595     9.81314   0.0853083
         505     10.1578     9.81382   0.0851421
         506     10.1558      9.8145   0.0849765
         507     10.1543     9.81517   0.0848116
         508     10.1532     9.81584   0.0846472
         509     10.1512      9.8165   0.0844835
         510     10.1504     9.81715   0.0843204
         511     10.1485      9.8178   0.0841579
         512      10.145     9.81844   0.0839959
         513     10.1406     9.81907   0.0838345
         514     10.1366     9.81968   0.0836737
         515     10.1337     9.82029   0.0835134
         516     10.1313      9.8209   0.0833538
         517     10.1265     9.82149   0.0831946
         518     10.1243     9.82207   0.0830361
         519     10.1197     9.82265   0.0828781
         520     10.1149     9.82321   0.0827206
         521     10.1098     9.82376   0.0825637
         522     10.1045      9.8243   0.0824072
         523     10.1004     9.82482   0.0822514
         524     10.0946     9.82534    0.082096
         525     10.0885     9.82584   0.0819412
         526     10.0823     9.82633   0.0817868
         527      10.075      9.8268    0.081633
         528     10.0683     9.82726   0.0814797
         529     10.0614      9.8277   0.0813269
