#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         204   0.0442529   0.0442987 1.38346e-06
         205   0.0442522   0.0442984 1.39512e-06
         206   0.0442514   0.0442982 1.40691e-06
         207   0.0442508    0.044298 1.41865e-06
         208   0.0442502   0.0442978 1.43033e-06
         209   0.0442493   0.0442975 1.44215e-06
         210   0.0442487   0.0442973 1.45391e-06
         211   0.0442481   0.0442971 1.46562e-06
         212   0.0442472   0.0442968 1.47746e-06
         213   0.0442463   0.0442966 1.48942e-06
         214   0.0442457   0.0442964 1.50133e-06
         215   0.0442451   0.0442961 1.51319e-06
         216   0.0442439   0.0442959 1.52535e-06
         217   0.0442431   0.0442956 1.53762e-06
         218   0.0442422   0.0442954    1.55e-06
         219   0.0442415   0.0442951 1.56232e-06
         220   0.0442409   0.0442949 1.57458e-06
         221   0.0442402   0.0442946 1.58678e-06
         222   0.0442395   0.0442944 1.59894e-06
         223   0.0442389   0.0442941 1.61104e-06
         224   0.0442382   0.0442939 1.62309e-06
         225   0.0442371   0.0442936 1.63542e-06
         226   0.0442359   0.0442934 1.64802e-06
         227   0.0442352   0.0442931 1.66056e-06
         228   0.0442343   0.0442929  1.6732e-06
         229   0.0442334   0.0442926 1.68595e-06
         230   0.0442327   0.0442924 1.69863e-06
         231   0.0442318   0.0442921 1.71141e-06
         232   0.0442308   0.0442918 1.72428e-06
         233   0.0442299   0.0442916 1.73725e-06
         234   0.0442287   0.0442913 1.75047e-06
         235   0.0442271    0.044291 1.76423e-06
         236   0.0442261   0.0442907 1.77806e-06
         237   0.0442254   0.0442905 1.79182e-06
         238   0.0442244   0.0442902 1.80564e-06
         239   0.0442235   0.0442899 1.81953e-06
         240   0.0442225   0.0442896 1.83348e-06
         241   0.0442216   0.0442893 1.84751e-06
         242   0.0442203   0.0442891 1.86175e-06
         243   0.0442194   0.0442888 1.87604e-06
         244   0.0442184   0.0442885 1.89039e-06
         245   0.0442174   0.0442882  1.9048e-06
         246   0.0442167   0.0442879 1.91912e-06
         247   0.0442159   0.0442876 1.93335e-06
         248   0.0442147   0.0442873 1.94778e-06
         249   0.0442139    0.044287 1.96212e-06
         250   0.0442125   0.0442867 1.97681e-06
         251   0.0442117   0.0442864  1.9914e-06
         252   0.0442107   0.0442861 2.00604e-06
         253   0.0442099   0.0442858 2.02059e-06
         254   0.0442092   0.0442855 2.03505e-06
         255   0.0442084   0.0442852 2.04943e-06
         256   0.0442074   0.0442849 2.06386e-06
         257   0.0442059   0.0442846 2.07862e-06
         258   0.0442051   0.0442843 2.09329e-06
         259   0.0442043    0.044284 2.10788e-06
         260   0.0442033   0.0442837 2.12252e-06
         261   0.0442025   0.0442834 2.13707e-06
         262   0.0442017   0.0442831 2.15155e-06
         263   0.0442004   0.0442827 2.16621e-06
         264   0.0441996   0.0442824 2.18078e-06
         265   0.0441983   0.0442821 2.19554e-06
         266    0.044197   0.0442818 2.21048e-06
         267    0.044196   0.0442815 2.22546e-06
         268   0.0441949   0.0442811 2.24048e-06
         269   0.0441938   0.0442808 2.25555e-06
         270   0.0441928   0.0442805 2.27065e-06
         271   0.0441919   0.0442802 2.28567e-06
         272   0.0441911   0.0442798 2.30061e-06
         273     0.04419   0.0442795 2.31559e-06
         274   0.0441892   0.0442792  2.3305e-06
         275   0.0441881   0.0442789 2.34545e-06
         276   0.0441872   0.0442785 2.36032e-06
         277   0.0441861   0.0442782 2.37524e-06
         278   0.0441846   0.0442779 2.39045e-06
         279   0.0441837   0.0442775 2.40557e-06
         280   0.0441829   0.0442772 2.42062e-06
         281    0.044181   0.0442768 2.43607e-06
         282   0.0441799   0.0442765 2.45155e-06
         283   0.0441788   0.0442761 2.46706e-06
         284   0.0441779   0.0442758 2.48249e-06
         285   0.0441766   0.0442755 2.49808e-06
         286   0.0441757   0.0442751 2.51358e-06
         287   0.0441748   0.0442748   2.529e-06
         288   0.0441737   0.0442744 2.54446e-06
         289   0.0441728   0.0442741 2.55984e-06
         290   0.0441719   0.0442737 2.57515e-06
         291    0.044171   0.0442733 2.59039e-06
         292   0.0441701    0.044273 2.60556e-06
         293   0.0441689   0.0442726 2.62077e-06
         294   0.0441678   0.0442723 2.63602e-06
         295   0.0441666   0.0442719 2.65132e-06
         296   0.0441657   0.0442716 2.66655e-06
         297   0.0441647   0.0442712 2.68171e-06
         298   0.0441633   0.0442708 2.69703e-06
         299   0.0441624   0.0442705 2.71228e-06
         300   0.0441615   0.0442701 2.72747e-06
         301   0.0441605   0.0442698 2.74259e-06
         302   0.0441594   0.0442694 2.75777e-06
         303   0.0441584    0.044269 2.77288e-06
         304    0.044157   0.0442687 2.78815e-06
         305   0.0441558   0.0442683 2.80345e-06
         306   0.0441548   0.0442679  2.8187e-06
         307   0.0441536   0.0442675   2.834e-06
         308   0.0441524   0.0442672 2.84933e-06
         309   0.0441512   0.0442668 2.86471e-06
         310   0.0441498   0.0442664 2.88023e-06
         311   0.0441481    0.044266   2.896e-06
         312   0.0441469   0.0442656 2.91179e-06
         313   0.0441456   0.0442653 2.92763e-06
         314   0.0441442   0.0442649 2.94359e-06
         315   0.0441427   0.0442645 2.95969e-06
         316   0.0441415   0.0442641 2.97582e-06
         317   0.0441405   0.0442637 2.99188e-06
         318   0.0441392   0.0442633 3.00797e-06
         319    0.044138   0.0442629  3.0241e-06
         320   0.0441367   0.0442625 3.04025e-06
         321   0.0441357   0.0442621 3.05635e-06
         322   0.0441345   0.0442617 3.07247e-06
         323   0.0441334   0.0442613 3.08853e-06
         324   0.0441322   0.0442609 3.10462e-06
         325   0.0441311   0.0442605 3.12066e-06
         326   0.0441299   0.0442601 3.13673e-06
         327   0.0441288   0.0442597 3.15274e-06
         328   0.0441273   0.0442593 3.16888e-06
         329   0.0441263   0.0442589 3.18496e-06
         330   0.0441252   0.0442585 3.20098e-06
         331   0.0441237   0.0442581 3.21713e-06
         332   0.0441224   0.0442577 3.23332e-06
         333   0.0441213   0.0442573 3.24945e-06
         334   0.0441203   0.0442569 3.26552e-06
         335   0.0441187   0.0442565 3.28172e-06
         336   0.0441176   0.0442561 3.29787e-06
         337   0.0441166   0.0442557 3.31396e-06
         338   0.0441155   0.0442552 3.33001e-06
         339   0.0441137   0.0442548 3.34626e-06
         340   0.0441126   0.0442544 3.36246e-06
         341   0.0441115    0.044254 3.37862e-06
         342   0.0441102   0.0442536 3.39481e-06
         343   0.0441091   0.0442531 3.41095e-06
         344   0.0441077   0.0442527 3.42713e-06
         345   0.0441064   0.0442523 3.44335e-06
         346   0.0441048   0.0442519 3.45969e-06
         347   0.0441037   0.0442514 3.47598e-06
         348   0.0441023    0.044251  3.4923e-06
         349   0.0441012   0.0442506 3.50858e-06
         350   0.0440996   0.0442502 3.52498e-06
         351   0.0440982   0.0442497 3.54142e-06
         352   0.0440968   0.0442493 3.55789e-06
         353   0.0440955   0.0442489 3.57439e-06
         354   0.0440943   0.0442484 3.59085e-06
         355   0.0440932    0.044248 3.60727e-06
         356    0.044092   0.0442475 3.62364e-06
         357   0.0440904   0.0442471 3.64013e-06
         358    0.044089   0.0442467 3.65665e-06
         359   0.0440878   0.0442462 3.67313e-06
         360   0.0440867   0.0442458 3.68957e-06
         361   0.0440857   0.0442453 3.70589e-06
         362   0.0440843   0.0442449 3.72226e-06
         363   0.0440829   0.0442444 3.73866e-06
         364   0.0440815    0.044244  3.7551e-06
         365   0.0440798   0.0442435 3.77166e-06
         366   0.0440784   0.0442431 3.78826e-06
         367   0.0440772   0.0442426 3.80482e-06
         368    0.044076   0.0442422 3.82134e-06
         369   0.0440745   0.0442417  3.8379e-06
         370   0.0440733   0.0442413 3.85442e-06
         371   0.0440723   0.0442408 3.87084e-06
         372   0.0440711   0.0442404 3.88722e-06
         373   0.0440699   0.0442399 3.90357e-06
         374   0.0440684   0.0442394 3.91996e-06
         375   0.0440672    0.044239 3.93633e-06
         376    0.044066   0.0442385 3.95266e-06
         377   0.0440647   0.0442381 3.96897e-06
         378    0.044063   0.0442376  3.9854e-06
         379   0.0440613   0.0442371 4.00194e-06
         380     0.04406   0.0442367 4.01846e-06
         381   0.0440585   0.0442362 4.03502e-06
         382   0.0440573   0.0442357 4.05155e-06
         383   0.0440553   0.0442353 4.06826e-06
         384    0.044054   0.0442348 4.08495e-06
         385   0.0440523   0.0442343 4.10175e-06
         386   0.0440508   0.0442338 4.11859e-06
         387   0.0440495   0.0442334 4.13541e-06
         388   0.0440482   0.0442329 4.15219e-06
         389   0.0440464   0.0442324 4.16909e-06
         390   0.0440449   0.0442319 4.18602e-06
         391   0.0440436   0.0442314 4.20293e-06
         392   0.0440423    0.044231 4.21981e-06
         393    0.044041   0.0442305 4.23667e-06
         394   0.0440397     0.04423  4.2535e-06
         395   0.0440379   0.0442295 4.27044e-06
         396   0.0440366    0.044229 4.28736e-06
         397   0.0440353   0.0442285 4.30425e-06
         398   0.0440335    0.044228 4.32125e-06
         399   0.0440319   0.0442276  4.3383e-06
         400   0.0440305   0.0442271 4.35532e-06
         401   0.0440292   0.0442266 4.37231e-06
         402   0.0440279   0.0442261 4.38929e-06
         403   0.0440265   0.0442256 4.40624e-06
         404   0.0440249   0.0442251 4.42324e-06
         405   0.0440231   0.0442246 4.44035e-06
         406   0.0440217   0.0442241 4.45744e-06
         407   0.0440204   0.0442236  4.4745e-06
         408   0.0440187   0.0442231 4.49161e-06
         409   0.0440174   0.0442226  4.5087e-06
         410   0.0440158   0.0442221 4.52584e-06
         411   0.0440141   0.0442216 4.54302e-06
         412   0.0440127   0.0442211 4.56018e-06
         413   0.0440109   0.0442206 4.57745e-06
         414   0.0440095     0.04422  4.5947e-06
         415   0.0440078   0.0442195 4.61199e-06
         416   0.0440064    0.044219 4.62927e-06
         417    0.044005   0.0442185 4.64653e-06
         418   0.0440034    0.044218 4.66383e-06
         419   0.0440019   0.0442175 4.68112e-06
         420   0.0440003    0.044217 4.69845e-06
         421   0.0439986   0.0442164 4.71583e-06
         422   0.0439967   0.0442159 4.73332e-06
         423   0.0439953   0.0442154 4.75079e-06
         424   0.0439936   0.0442149  4.7683e-06
         425   0.0439919   0.0442143 4.78586e-06
         426     0.04399   0.0442138 4.80352e-06
         427   0.0439885   0.0442133 4.82117e-06
         428   0.0439866   0.0442128 4.83891e-06
         429   0.0439849   0.0442122 4.85671e-06
         430   0.0439832   0.0442117 4.87454e-06
         431   0.0439817   0.0442112 4.89236e-06
         432   0.0439802   0.0442106 4.91016e-06
         433   0.0439782   0.0442101 4.92807e-06
         434   0.0439768   0.0442096 4.94595e-06
         435   0.0439753    0.044209 4.96383e-06
         436   0.0439733   0.0442085  4.9818e-06
         437   0.0439715   0.0442079 4.99982e-06
         438   0.0439696   0.0442074 5.01794e-06
         439    0.043968   0.0442068 5.03604e-06
         440   0.0439661   0.0442063 5.05424e-06
         441   0.0439643   0.0442058 5.07248e-06
         442   0.0439625   0.0442052 5.09077e-06
         443    0.043961   0.0442046 5.10904e-06
         444   0.0439592   0.0442041 5.12735e-06
         445   0.0439574   0.0442035  5.1457e-06
         446   0.0439557    0.044203 5.16409e-06
         447   0.0439541   0.0442024 5.18246e-06
         448   0.0439528   0.0442019 5.20077e-06
         449   0.0439512   0.0442013 5.21906e-06
         450   0.0439497   0.0442008 5.23734e-06
         451   0.0439481   0.0442002  5.2556e-06
         452   0.0439465   0.0441996 5.27386e-06
         453   0.0439447   0.0441991 5.29216e-06
         454   0.0439431   0.0441985 5.31045e-06
         455    0.043941   0.0441979 5.32884e-06
         456   0.0439394   0.0441974 5.34722e-06
         457   0.0439376   0.0441968 5.36565e-06
         458    0.043936   0.0441962 5.38407e-06
         459   0.0439342   0.0441957 5.40253e-06
         460   0.0439325   0.0441951 5.42098e-06
         461   0.0439307   0.0441945 5.43948e-06
         462   0.0439291   0.0441939 5.45797e-06
         463   0.0439274   0.0441934 5.47645e-06
         464   0.0439256   0.0441928 5.49498e-06
         465   0.0439239   0.0441922  5.5135e-06
         466    0.043922   0.0441916 5.53207e-06
         467   0.0439202   0.0441911 5.55068e-06
         468   0.0439185   0.0441905 5.56929e-06
         469   0.0439168   0.0441899 5.58789e-06
         470   0.0439149   0.0441893 5.60654e-06
         471    0.043913   0.0441887 5.62524e-06
         472   0.0439111   0.0441881 5.64398e-06
         473   0.0439092   0.0441875 5.66277e-06
         474   0.0439078   0.0441869  5.6815e-06
         475   0.0439061   0.0441864 5.70023e-06
         476   0.0439044   0.0441858 5.71896e-06
         477   0.0439027   0.0441852 5.73768e-06
         478   0.0439007   0.0441846 5.75645e-06
         479   0.0438985    0.044184 5.77533e-06
         480   0.0438968   0.0441834 5.79419e-06
         481   0.0438951   0.0441828 5.81306e-06
         482   0.0438934   0.0441822 5.83193e-06
         483   0.0438916   0.0441816 5.85079e-06
         484   0.0438897    0.044181  5.8697e-06
         485   0.0438879   0.0441804 5.88862e-06
         486   0.0438862   0.0441798 5.90753e-06
         487   0.0438847   0.0441792  5.9264e-06
         488   0.0438827   0.0441786 5.94531e-06
         489   0.0438807   0.0441779 5.96428e-06
         490   0.0438789   0.0441773 5.98325e-06
         491   0.0438771   0.0441767 6.00222e-06
         492   0.0438754   0.0441761  6.0212e-06
         493   0.0438736   0.0441755 6.04017e-06
         494   0.0438715   0.0441749  6.0592e-06
         495   0.0438697   0.0441743 6.07824e-06
         496   0.0438679   0.0441736 6.09728e-06
         497   0.0438659    0.044173 6.11637e-06
         498   0.0438643   0.0441724 6.13542e-06
         499   0.0438625   0.0441718 6.15447e-06
         500   0.0438607   0.0441712 6.17353e-06
         501   0.0438589   0.0441705  6.1926e-06
         502    0.043857   0.0441699 6.21167e-06
         503   0.0438552   0.0441693 6.23075e-06
         504   0.0438534   0.0441687 6.24984e-06
         505   0.0438515    0.044168 6.26894e-06
         506   0.0438494   0.0441674  6.2881e-06
         507   0.0438476   0.0441668 6.30726e-06
         508   0.0438457   0.0441661 6.32643e-06
         509   0.0438434   0.0441655 6.34571e-06
         510   0.0438415   0.0441649 6.36499e-06
         511   0.0438394   0.0441642 6.38433e-06
         512   0.0438372   0.0441636 6.40372e-06
         513   0.0438349    0.044163 6.42322e-06
         514   0.0438327   0.0441623 6.44277e-06
         515   0.0438308   0.0441617 6.46233e-06
         516   0.0438289    0.044161  6.4819e-06
         517   0.0438268   0.0441604 6.50153e-06
         518   0.0438244   0.0441597 6.52125e-06
         519   0.0438225   0.0441591 6.54098e-06
         520   0.0438205   0.0441584 6.56072e-06
         521   0.0438186   0.0441578 6.58048e-06
         522   0.0438164   0.0441571 6.60028e-06
         523    0.043814   0.0441565 6.62019e-06
         524    0.043812   0.0441558 6.64011e-06
         525   0.0438099   0.0441552 6.66008e-06
         526   0.0438076   0.0441545  6.6801e-06
         527   0.0438057   0.0441538 6.70014e-06
         528   0.0438037   0.0441532 6.72018e-06
         529   0.0438017   0.0441525 6.74024e-06
         530   0.0437997   0.0441518  6.7603e-06
         531   0.0437975   0.0441512 6.78042e-06
         532   0.0437955   0.0441505 6.80056e-06
         533   0.0437937   0.0441498 6.82066e-06
         534   0.0437917   0.0441492 6.84077e-06
         535   0.0437897   0.0441485  6.8609e-06
         536   0.0437877   0.0441478 6.88104e-06
         537   0.0437852   0.0441471 6.90128e-06
         538   0.0437825   0.0441465 6.92166e-06
         539   0.0437804   0.0441458 6.94206e-06
         540   0.0437784   0.0441451 6.96246e-06
         541   0.0437763   0.0441444 6.98288e-06
         542   0.0437743   0.0441437 7.00332e-06
         543   0.0437722   0.0441431 7.02377e-06
         544   0.0437701   0.0441424 7.04423e-06
         545   0.0437681   0.0441417 7.06471e-06
         546    0.043766    0.044141  7.0852e-06
         547   0.0437639   0.0441403  7.1057e-06
         548   0.0437616   0.0441396 7.12627e-06
         549   0.0437595   0.0441389 7.14685e-06
         550   0.0437574   0.0441382 7.16745e-06
         551   0.0437553   0.0441375 7.18806e-06
         552   0.0437531   0.0441368 7.20869e-06
         553   0.0437508   0.0441361 7.22938e-06
         554   0.0437489   0.0441354 7.25004e-06
         555   0.0437468   0.0441347 7.27072e-06
         556   0.0437444    0.044134 7.29146e-06
         557    0.043742   0.0441333 7.31226e-06
         558   0.0437399   0.0441326 7.33308e-06
         559   0.0437377   0.0441319 7.35392e-06
         560   0.0437353   0.0441312 7.37481e-06
         561   0.0437331   0.0441305 7.39573e-06
         562   0.0437307   0.0441298  7.4167e-06
         563   0.0437288   0.0441291 7.43765e-06
         564   0.0437266   0.0441284 7.45863e-06
         565   0.0437244   0.0441277 7.47962e-06
         566   0.0437222   0.0441269 7.50063e-06
         567   0.0437197   0.0441262  7.5217e-06
         568   0.0437171   0.0441255 7.54288e-06
         569   0.0437148   0.0441248 7.56407e-06
         570   0.0437126   0.0441241 7.58528e-06
         571   0.0437104   0.0441233 7.60652e-06
         572   0.0437077   0.0441226 7.62785e-06
         573   0.0437054   0.0441219 7.64921e-06
         574   0.0437027   0.0441211 7.67066e-06
         575   0.0437004   0.0441204 7.69213e-06
         576   0.0436982   0.0441197 7.71363e-06
         577   0.0436954   0.0441189 7.73522e-06
         578   0.0436932   0.0441182 7.75684e-06
         579   0.0436909   0.0441175 7.77847e-06
         580   0.0436886   0.0441167 7.80013e-06
         581   0.0436861    0.044116 7.82185e-06
         582   0.0436838   0.0441152 7.84359e-06
