#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         215     0.95067    0.950222 1.36444e-05
         216    0.950677    0.950224 1.37427e-05
         217    0.950683    0.950226 1.38413e-05
         218     0.95069    0.950228 1.39401e-05
         219    0.950696    0.950231 1.40393e-05
         220    0.950703    0.950233 1.41387e-05
         221     0.95071    0.950235 1.42384e-05
         222    0.950716    0.950237 1.43384e-05
         223    0.950723    0.950239 1.44387e-05
         224     0.95073    0.950241 1.45392e-05
         225    0.950736    0.950244   1.464e-05
         226    0.950743    0.950246 1.47411e-05
         227     0.95075    0.950248 1.48424e-05
         228    0.950757     0.95025 1.49441e-05
         229    0.950764    0.950252  1.5046e-05
         230     0.95077    0.950255 1.51482e-05
         231    0.950777    0.950257 1.52507e-05
         232    0.950784    0.950259 1.53534e-05
         233    0.950791    0.950262 1.54565e-05
         234    0.950798    0.950264 1.55598e-05
         235    0.950806    0.950266 1.56634e-05
         236    0.950813    0.950268 1.57672e-05
         237     0.95082    0.950271 1.58714e-05
         238    0.950827    0.950273 1.59758e-05
         239    0.950834    0.950275 1.60806e-05
         240    0.950842    0.950278 1.61856e-05
         241    0.950849     0.95028 1.62909e-05
         242    0.950856    0.950283 1.63964e-05
         243    0.950863    0.950285 1.65023e-05
         244    0.950871    0.950287 1.66085e-05
         245    0.950878     0.95029 1.67149e-05
         246    0.950886    0.950292 1.68216e-05
         247    0.950893    0.950295 1.69287e-05
         248    0.950901    0.950297  1.7036e-05
         249    0.950908      0.9503 1.71435e-05
         250    0.950916    0.950302 1.72514e-05
         251    0.950924    0.950305 1.73596e-05
         252    0.950931    0.950307  1.7468e-05
         253    0.950939    0.950309 1.75767e-05
         254    0.950947    0.950312 1.76858e-05
         255    0.950955    0.950315 1.77951e-05
         256    0.950962    0.950317 1.79046e-05
         257     0.95097     0.95032 1.80145e-05
         258    0.950978    0.950322 1.81247e-05
         259    0.950986    0.950325 1.82351e-05
         260    0.950994    0.950327 1.83458e-05
         261    0.951002     0.95033 1.84568e-05
         262     0.95101    0.950332 1.85681e-05
         263    0.951018    0.950335 1.86797e-05
         264    0.951026    0.950338 1.87915e-05
         265    0.951034     0.95034 1.89037e-05
         266    0.951043    0.950343 1.90161e-05
         267    0.951051    0.950346 1.91288e-05
         268    0.951059    0.950348 1.92418e-05
         269    0.951067    0.950351 1.93551e-05
         270    0.951076    0.950354 1.94686e-05
         271    0.951084    0.950356 1.95825e-05
