#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         199  -0.0327655  -0.0321364 1.94091e-05
         200  -0.0327744  -0.0321396 1.95724e-05
         201  -0.0327857  -0.0321428 1.97372e-05
         202  -0.0327947  -0.0321461 1.99016e-05
         203  -0.0328038  -0.0321493 2.00656e-05
         204  -0.0328153  -0.0321526 2.02311e-05
         205  -0.0328245  -0.0321559 2.03962e-05
         206  -0.0328361  -0.0321592 2.05627e-05
         207  -0.0328453  -0.0321625 2.07288e-05
         208  -0.0328546  -0.0321658 2.08946e-05
         209  -0.0328664  -0.0321691 2.10618e-05
         210  -0.0328758  -0.0321725 2.12286e-05
         211  -0.0328852  -0.0321759  2.1395e-05
         212  -0.0328971  -0.0321793 2.15629e-05
         213   -0.032909  -0.0321827 2.17321e-05
         214  -0.0329187  -0.0321862 2.19009e-05
         215  -0.0329283  -0.0321896 2.20694e-05
         216  -0.0329428  -0.0321931  2.2241e-05
         217  -0.0329549  -0.0321966 2.24138e-05
         218  -0.0329671  -0.0322001  2.2588e-05
         219  -0.0329769  -0.0322037 2.27616e-05
         220  -0.0329868  -0.0322072 2.29348e-05
         221  -0.0329968  -0.0322108 2.31076e-05
         222  -0.0330068  -0.0322144 2.32801e-05
         223  -0.0330169   -0.032218 2.34521e-05
         224   -0.033027  -0.0322216 2.36239e-05
         225  -0.0330419  -0.0322253 2.37985e-05
         226  -0.0330568  -0.0322289 2.39759e-05
         227  -0.0330671  -0.0322326 2.41529e-05
         228  -0.0330797  -0.0322363 2.43311e-05
         229  -0.0330925  -0.0322401 2.45104e-05
         230  -0.0331029  -0.0322438 2.46892e-05
         231  -0.0331157  -0.0322476 2.48692e-05
         232  -0.0331286  -0.0322514 2.50502e-05
         233  -0.0331416  -0.0322552 2.52323e-05
         234  -0.0331569  -0.0322591  2.5417e-05
         235  -0.0331771   -0.032263 2.56073e-05
         236  -0.0331902  -0.0322669 2.57984e-05
         237   -0.033201  -0.0322709 2.59889e-05
         238  -0.0332142  -0.0322748 2.61802e-05
         239  -0.0332275  -0.0322788 2.63723e-05
         240  -0.0332408  -0.0322828 2.65653e-05
         241  -0.0332541  -0.0322868  2.6759e-05
         242  -0.0332699  -0.0322909 2.69551e-05
         243  -0.0332834   -0.032295 2.71518e-05
         244  -0.0332969  -0.0322991 2.73493e-05
         245  -0.0333105  -0.0323032 2.75475e-05
         246  -0.0333218  -0.0323074 2.77449e-05
         247  -0.0333331  -0.0323115 2.79416e-05
         248  -0.0333492  -0.0323157 2.81405e-05
         249  -0.0333606  -0.0323199 2.83386e-05
         250  -0.0333792  -0.0323241 2.85403e-05
         251  -0.0333907  -0.0323284 2.87412e-05
         252  -0.0334047  -0.0323327 2.89427e-05
         253  -0.0334163  -0.0323369 2.91435e-05
         254   -0.033428  -0.0323412 2.93437e-05
         255  -0.0334397  -0.0323455 2.95431e-05
         256  -0.0334539  -0.0323499 2.97432e-05
         257  -0.0334728  -0.0323542 2.99467e-05
         258  -0.0334847  -0.0323586 3.01495e-05
         259  -0.0334967   -0.032363 3.03516e-05
         260   -0.033511  -0.0323674 3.05543e-05
         261  -0.0335231  -0.0323719 3.07564e-05
         262  -0.0335352  -0.0323763 3.09579e-05
         263  -0.0335521  -0.0323808 3.11613e-05
         264  -0.0335643  -0.0323853 3.13641e-05
         265  -0.0335813  -0.0323898 3.15688e-05
         266  -0.0335984  -0.0323943 3.17754e-05
         267  -0.0336131  -0.0323989 3.19826e-05
         268  -0.0336279  -0.0324035 3.21903e-05
         269  -0.0336428  -0.0324081 3.23987e-05
         270  -0.0336577  -0.0324127 3.26075e-05
         271  -0.0336702  -0.0324173 3.28158e-05
         272  -0.0336829   -0.032422 3.30233e-05
         273   -0.033698  -0.0324267 3.32314e-05
         274  -0.0337107  -0.0324314 3.34389e-05
         275  -0.0337259  -0.0324361 3.36471e-05
         276  -0.0337387  -0.0324408 3.38546e-05
         277   -0.033754  -0.0324455 3.40627e-05
         278  -0.0337741  -0.0324503 3.42738e-05
         279  -0.0337871  -0.0324551 3.44842e-05
         280  -0.0338002  -0.0324599  3.4694e-05
         281  -0.0338228  -0.0324647 3.49079e-05
         282  -0.0338384  -0.0324696 3.51223e-05
         283   -0.033854  -0.0324745 3.53372e-05
         284  -0.0338673  -0.0324794 3.55515e-05
         285  -0.0338854  -0.0324843 3.57674e-05
         286  -0.0338988  -0.0324893 3.59826e-05
         287  -0.0339122  -0.0324942 3.61972e-05
         288  -0.0339281  -0.0324992 3.64123e-05
         289  -0.0339417  -0.0325042 3.66268e-05
         290  -0.0339553  -0.0325092 3.68407e-05
         291   -0.033969  -0.0325142 3.70541e-05
         292  -0.0339827  -0.0325193 3.72669e-05
         293  -0.0339989  -0.0325243 3.74803e-05
         294  -0.0340151  -0.0325294 3.76942e-05
         295  -0.0340314  -0.0325345 3.79088e-05
         296  -0.0340453  -0.0325396 3.81228e-05
         297  -0.0340593  -0.0325447 3.83363e-05
         298  -0.0340781  -0.0325498 3.85514e-05
         299  -0.0340923   -0.032555 3.87661e-05
         300  -0.0341064  -0.0325602 3.89803e-05
         301  -0.0341207  -0.0325654  3.9194e-05
         302  -0.0341373  -0.0325706 3.94084e-05
         303  -0.0341516  -0.0325758 3.96222e-05
         304  -0.0341708   -0.032581 3.98378e-05
         305  -0.0341876  -0.0325863 4.00539e-05
         306  -0.0342021  -0.0325916 4.02696e-05
         307   -0.034219  -0.0325969 4.04858e-05
         308   -0.034236  -0.0326022 4.07026e-05
