#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         284     2.35022   -0.441346    0.165371
         285     2.34932   -0.431554     0.16508
         286     2.34793   -0.421835    0.164789
         287     2.34702   -0.412188    0.164497
         288     2.34659   -0.402609    0.164204
         289     2.34567   -0.393099    0.163911
         290       2.345   -0.383657    0.163618
         291      2.3441   -0.374284    0.163324
         292     2.34344   -0.364976    0.163029
         293     2.34206   -0.355737    0.162734
         294     2.34094   -0.346565    0.162439
         295     2.34055   -0.337456    0.162144
         296     2.34017    -0.32841    0.161848
         297     2.33908   -0.319428    0.161552
         298     2.33801   -0.310511    0.161256
         299     2.33743   -0.301655     0.16096
         300     2.33615   -0.292862    0.160663
         301     2.33536   -0.284131    0.160366
         302     2.33459   -0.275459     0.16007
         303     2.33383   -0.266848    0.159773
         304     2.33308   -0.258295    0.159476
         305      2.3321   -0.249802    0.159179
         306     2.33162   -0.241366    0.158882
         307     2.33065   -0.232988    0.158586
         308     2.33042   -0.224666    0.158289
         309      2.3297   -0.216399    0.157992
         310     2.32874   -0.208189    0.157696
         311     2.32778   -0.200035      0.1574
         312     2.32777   -0.191933    0.157103
         313     2.32702   -0.183885    0.156807
         314     2.32601   -0.175892    0.156512
         315     2.32498   -0.167952    0.156216
         316     2.32393   -0.160067    0.155921
         317     2.32308   -0.152233    0.155625
         318     2.32244   -0.144451     0.15533
         319     2.32152   -0.136721    0.155036
         320     2.32056   -0.129042    0.154741
         321     2.31907   -0.121416    0.154447
         322     2.31752   -0.113841    0.154153
         323     2.31591   -0.106319    0.153859
         324     2.31425  -0.0988479    0.153566
         325     2.31301  -0.0914268    0.153272
         326      2.3117  -0.0840553    0.152979
         327     2.31008  -0.0767337    0.152687
         328     2.30816  -0.0694627    0.152394
         329     2.30665  -0.0622405    0.152102
         330     2.30483  -0.0550676     0.15181
         331     2.30342  -0.0479422    0.151519
         332     2.30195  -0.0408642    0.151227
         333      2.2997  -0.0338355    0.150937
         334      2.2981  -0.0268536    0.150646
         335     2.29549  -0.0199213    0.150356
         336      2.2933  -0.0130367    0.150066
         337     2.29131 -0.00619885    0.149776
         338     2.28928 0.000592509    0.149487
         339     2.28673  0.00733629    0.149198
         340     2.28536   0.0140364     0.14891
         341     2.28373   0.0206924    0.148622
         342     2.28161   0.0273032    0.148334
         343     2.27924   0.0338686    0.148047
         344     2.27688    0.040389     0.14776
         345     2.27502   0.0468662    0.147474
         346      2.2727   0.0532992    0.147188
         347     2.27091     0.05969    0.146902
         348      2.2694   0.0660398    0.146617
         349      2.2677   0.0723483    0.146333
         350     2.26608   0.0786161    0.146049
         351     2.26381   0.0848417    0.145765
         352     2.26187   0.0910265    0.145482
         353     2.26027   0.0971716      0.1452
         354     2.25878    0.103278    0.144918
         355     2.25764    0.109346    0.144637
         356      2.2559    0.115376    0.144356
         357     2.25527     0.12137    0.144076
         358     2.25405    0.127327    0.143797
         359     2.25394    0.133251    0.143518
         360      2.2535    0.139141     0.14324
         361     2.25298    0.144996    0.142963
         362     2.25286    0.150819    0.142687
         363     2.25219    0.156608    0.142411
         364     2.25241    0.162366    0.142136
         365     2.25281    0.168093    0.141862
         366     2.25314     0.17379    0.141589
         367     2.25437    0.179459    0.141317
         368     2.25481    0.185098    0.141045
         369     2.25615    0.190711    0.140774
         370     2.25718    0.196296    0.140505
         371      2.2579    0.201853    0.140236
         372     2.25927    0.207384    0.139968
         373     2.26129     0.21289    0.139701
         374     2.26299    0.218372    0.139435
         375     2.26557    0.223831     0.13917
         376      2.2671    0.229265    0.138906
         377     2.26949    0.234677    0.138643
         378     2.27226    0.240067    0.138381
         379     2.27444    0.245435     0.13812
         380     2.27747    0.250782     0.13786
         381     2.28014    0.256109    0.137601
         382     2.28339    0.261416    0.137343
         383     2.28603    0.266702    0.137086
         384     2.28899    0.271968     0.13683
         385      2.2918    0.277215    0.136575
         386     2.29589    0.282444    0.136321
         387      2.2998    0.287657    0.136069
         388     2.30304    0.292852    0.135817
         389     2.30609    0.298027    0.135567
         390      2.3099    0.303186    0.135317
         391     2.31326    0.308326    0.135069
         392     2.31663     0.31345    0.134821
         393     2.32002    0.318555    0.134575
         394     2.32341    0.323644    0.134329
         395     2.32679    0.328715    0.134085
         396     2.33016    0.333769    0.133842
         397     2.33326    0.338806    0.133599
         398     2.33657    0.343825    0.133358
         399     2.33961    0.348827    0.133117
         400     2.34235    0.353811    0.132878
         401     2.34576    0.358779    0.132639
         402     2.34911     0.36373    0.132402
         403     2.35215    0.368664    0.132165
         404     2.35536    0.373581    0.131929
         405     2.35801    0.378481    0.131695
         406     2.36104    0.383364    0.131461
         407     2.36351    0.388229    0.131228
         408     2.36659    0.393078    0.130996
         409     2.36909     0.39791    0.130764
         410     2.37196    0.402724    0.130534
         411     2.37399    0.407521    0.130305
         412     2.37614    0.412299    0.130076
         413     2.37817    0.417059    0.129848
         414     2.38007    0.421801    0.129621
         415     2.38184    0.426523    0.129395
         416     2.38418    0.431229    0.129169
         417     2.38591    0.435917    0.128944
         418     2.38748    0.440586     0.12872
         419     2.38891    0.445236    0.128497
         420     2.38994    0.449866    0.128275
         421     2.39081    0.454476    0.128053
         422     2.39151    0.459066    0.127832
         423     2.39204    0.463636    0.127611
         424     2.39216    0.468184    0.127391
         425     2.39234    0.472712    0.127172
         426     2.39234    0.477218    0.126953
         427      2.3924    0.481703    0.126735
         428     2.39202    0.486167    0.126517
         429      2.3912    0.490607      0.1263
         430     2.39017    0.495025    0.126084
         431     2.38894    0.499419    0.125868
         432      2.3875     0.50379    0.125652
         433     2.38584    0.508136    0.125437
         434     2.38444    0.512459    0.125223
         435     2.38281    0.516759    0.125009
         436     2.38143    0.521036    0.124795
         437     2.37934    0.525288    0.124582
         438     2.37676    0.529515    0.124369
         439     2.37466    0.533718    0.124157
         440     2.37135    0.537895    0.123945
         441     2.36826    0.542045    0.123733
         442     2.36469    0.546169    0.123522
         443     2.36085    0.550265    0.123311
         444     2.35676    0.554334    0.123101
         445     2.35264    0.558375     0.12289
         446     2.34803    0.562388     0.12268
         447     2.34339    0.566372     0.12247
         448     2.33753    0.570326    0.122261
         449     2.33237     0.57425    0.122052
         450     2.32648    0.578144    0.121842
         451     2.32057    0.582007    0.121634
         452     2.31416     0.58584    0.121425
         453     2.30776    0.589641    0.121216
         454     2.30111     0.59341    0.121008
         455     2.29423    0.597148      0.1208
         456     2.28712    0.600855    0.120592
         457     2.28004    0.604529    0.120384
         458     2.27251    0.608171    0.120176
         459     2.26526    0.611781    0.119968
         460     2.25734    0.615358    0.119761
         461     2.24972    0.618904    0.119553
         462     2.24098    0.622415    0.119346
         463     2.23352    0.625894    0.119139
         464     2.22473     0.62934    0.118932
         465     2.21581    0.632752    0.118725
         466     2.20582    0.636127    0.118519
         467     2.19693     0.63947    0.118312
         468     2.18773    0.642778    0.118105
         469      2.1787    0.646053    0.117899
         470     2.16986    0.649295    0.117693
         471     2.16051    0.652503    0.117486
         472     2.15162     0.65568     0.11728
         473     2.14249    0.658823    0.117075
         474     2.13313    0.661933    0.116869
         475     2.12404    0.665011    0.116663
         476     2.11499    0.668058    0.116458
         477     2.10575    0.671072    0.116253
         478     2.09659    0.674054    0.116048
         479     2.08751    0.677005    0.115843
         480     2.07901    0.679925    0.115639
         481      2.0711    0.682818    0.115434
         482     2.06186    0.685679     0.11523
         483     2.05324     0.68851    0.115027
         484     2.04501    0.691313    0.114823
         485     2.03644    0.694086     0.11462
         486     2.02779    0.696831    0.114417
         487      2.0198    0.699547    0.114214
         488     2.01223    0.702237    0.114012
         489     2.00508    0.704901     0.11381
         490     1.99764     0.70754    0.113608
         491     1.99015    0.710152    0.113407
         492     1.98359     0.71274    0.113206
         493     1.97723    0.715305    0.113005
         494      1.9706    0.717846    0.112805
         495     1.96466    0.720365    0.112605
         496     1.95893    0.722862    0.112406
         497     1.95318    0.725338    0.112207
         498     1.94788    0.727792    0.112009
         499     1.94279    0.730227    0.111811
         500     1.93792    0.732643    0.111613
         501     1.93278    0.735038    0.111416
         502     1.92833    0.737415    0.111219
         503     1.92361    0.739774    0.111023
         504      1.9191    0.742113    0.110828
         505     1.91503    0.744436    0.110632
         506      1.9114    0.746742    0.110438
         507     1.90725    0.749031    0.110244
         508     1.90377    0.751304     0.11005
         509     1.90049    0.753562    0.109857
         510     1.89715    0.755804    0.109665
         511     1.89399    0.758032    0.109473
         512     1.89125    0.760245    0.109281
         513     1.88869    0.762445     0.10909
         514     1.88629    0.764631      0.1089
         515     1.88381    0.766804     0.10871
         516     1.88148    0.768965    0.108521
         517     1.87956    0.771113    0.108332
         518     1.87802     0.77325    0.108144
         519     1.87614    0.775375    0.107957
         520     1.87488    0.777489     0.10777
         521     1.87375    0.779593    0.107584
         522     1.87323    0.781688    0.107398
         523     1.87211    0.783773    0.107213
         524     1.87087    0.785848    0.107028
         525     1.86998    0.787913    0.106844
         526     1.86944    0.789969    0.106661
         527       1.869    0.792017    0.106478
         528     1.86842    0.794055    0.106296
         529     1.86794    0.796085    0.106114
         530     1.86802    0.798108    0.105933
         531     1.86771    0.800122    0.105753
         532     1.86724    0.802128    0.105573
         533     1.86733    0.804126    0.105394
         534     1.86749    0.806118    0.105216
         535     1.86749    0.808102    0.105038
         536     1.86731    0.810078     0.10486
         537     1.86744    0.812047    0.104684
         538     1.86739    0.814008    0.104507
         539     1.86788    0.815964    0.104332
         540     1.86842    0.817913    0.104157
         541     1.86878    0.819855    0.103982
         542     1.86918    0.821791    0.103808
         543     1.86964    0.823721    0.103635
         544     1.87015    0.825644    0.103463
         545     1.87094    0.827562    0.103291
         546     1.87154    0.829474    0.103119
         547     1.87193     0.83138    0.102948
         548     1.87261     0.83328    0.102778
         549     1.87406    0.835176    0.102608
         550     1.87554    0.837068    0.102439
         551     1.87658    0.838954     0.10227
         552     1.87693    0.840835    0.102102
         553     1.87805     0.84271    0.101935
         554     1.87872     0.84458    0.101768
         555     1.87968    0.846445    0.101602
         556     1.88019    0.848305    0.101436
         557      1.8817     0.85016    0.101271
         558     1.88278     0.85201    0.101106
         559     1.88341    0.853856    0.100942
