#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         300     1.66152     2.14554   0.0331118
         301     1.66195     2.14393   0.0330407
         302     1.66236     2.14234   0.0329698
         303     1.66277     2.14076   0.0328989
         304     1.66316     2.13918   0.0328282
         305     1.66354     2.13763   0.0327576
         306     1.66391     2.13608   0.0326871
         307     1.66427     2.13454   0.0326167
         308     1.66462     2.13301   0.0325465
         309     1.66497      2.1315   0.0324764
         310      1.6653        2.13   0.0324064
         311     1.66563      2.1285   0.0323366
         312     1.66596     2.12702   0.0322669
         313     1.66628     2.12555   0.0321974
         314     1.66661     2.12409    0.032128
         315     1.66693     2.12264   0.0320588
         316     1.66725     2.12119   0.0319897
         317     1.66758     2.11976   0.0319208
         318     1.66791     2.11834    0.031852
         319     1.66825     2.11693   0.0317834
         320      1.6686     2.11553   0.0317149
         321     1.66896     2.11414   0.0316466
         322     1.66932     2.11276   0.0315785
         323      1.6697     2.11139   0.0315105
         324      1.6701     2.11002   0.0314427
         325     1.67051     2.10867    0.031375
         326     1.67094     2.10733   0.0313075
         327     1.67139       2.106   0.0312401
         328     1.67185     2.10467   0.0311729
         329     1.67234     2.10336   0.0311058
         330     1.67284     2.10205   0.0310389
         331     1.67336     2.10076   0.0309721
         332     1.67391     2.09947   0.0309055
         333     1.67447      2.0982    0.030839
         334     1.67505     2.09693   0.0307727
         335     1.67565     2.09567   0.0307066
         336     1.67626     2.09442   0.0306405
         337     1.67689     2.09318   0.0305746
         338     1.67754     2.09196   0.0305089
         339      1.6782     2.09073   0.0304433
         340     1.67886     2.08952   0.0303779
         341     1.67954     2.08832   0.0303126
         342     1.68022     2.08713   0.0302474
         343      1.6809     2.08594   0.0301824
         344     1.68159     2.08477   0.0301175
         345     1.68227      2.0836   0.0300528
         346     1.68294     2.08244   0.0299883
         347      1.6836     2.08129   0.0299239
         348     1.68426     2.08015   0.0298596
         349     1.68489     2.07902   0.0297955
         350     1.68551      2.0779   0.0297316
         351     1.68611     2.07678   0.0296679
         352     1.68668     2.07567   0.0296043
         353     1.68722     2.07457   0.0295408
         354     1.68773     2.07348   0.0294776
         355      1.6882     2.07239   0.0294145
         356     1.68864     2.07132   0.0293517
         357     1.68903     2.07024    0.029289
         358     1.68938     2.06918   0.0292265
         359     1.68969     2.06812   0.0291642
         360     1.68994     2.06707   0.0291021
         361     1.69015     2.06603   0.0290402
         362     1.69031     2.06499   0.0289785
         363     1.69041     2.06396    0.028917
         364     1.69045     2.06293   0.0288558
         365     1.69045     2.06191   0.0287948
         366     1.69038      2.0609    0.028734
         367     1.69026     2.05989   0.0286734
         368     1.69008     2.05888   0.0286131
         369     1.68984     2.05788   0.0285531
         370     1.68955     2.05689   0.0284932
         371      1.6892      2.0559   0.0284337
         372     1.68879     2.05491   0.0283744
         373     1.68833     2.05393   0.0283153
         374     1.68781     2.05295   0.0282565
         375     1.68725     2.05197    0.028198
         376     1.68663       2.051   0.0281397
         377     1.68597     2.05003   0.0280817
         378     1.68525     2.04907    0.028024
         379      1.6845     2.04811   0.0279666
         380      1.6837     2.04715   0.0279094
         381     1.68286     2.04619   0.0278525
         382     1.68198     2.04524   0.0277959
         383     1.68107     2.04429   0.0277396
         384     1.68013     2.04334   0.0276836
         385     1.67916     2.04239   0.0276278
         386     1.67816     2.04145   0.0275724
         387     1.67714     2.04051   0.0275172
         388      1.6761     2.03957   0.0274623
         389     1.67505     2.03863   0.0274077
         390     1.67398      2.0377   0.0273533
         391      1.6729     2.03676   0.0272993
         392     1.67181     2.03583   0.0272455
         393     1.67072      2.0349    0.027192
         394     1.66962     2.03398   0.0271388
         395     1.66853     2.03305   0.0270859
         396     1.66744     2.03213   0.0270332
         397     1.66635     2.03121   0.0269808
         398     1.66527     2.03029   0.0269287
         399     1.66421     2.02937   0.0268768
         400     1.66316     2.02845   0.0268252
         401     1.66212     2.02754   0.0267739
         402      1.6611     2.02663   0.0267228
         403     1.66011     2.02572   0.0266719
         404     1.65913     2.02481   0.0266214
         405     1.65818     2.02391    0.026571
         406     1.65725       2.023   0.0265209
         407     1.65636      2.0221    0.026471
         408      1.6555      2.0212   0.0264214
         409     1.65466     2.02031    0.026372
         410     1.65386     2.01941   0.0263228
         411      1.6531     2.01852   0.0262739
         412     1.65237     2.01763   0.0262251
         413     1.65168     2.01675   0.0261766
         414     1.65104     2.01586   0.0261282
         415     1.65043     2.01498   0.0260801
         416     1.64986     2.01411   0.0260322
         417     1.64933     2.01323   0.0259845
         418     1.64886     2.01236   0.0259369
         419     1.64842     2.01149   0.0258896
         420     1.64804     2.01063   0.0258424
         421      1.6477     2.00976   0.0257954
         422     1.64741      2.0089   0.0257485
         423     1.64717     2.00805   0.0257018
         424     1.64698      2.0072   0.0256553
         425     1.64685     2.00635    0.025609
         426     1.64677     2.00551   0.0255628
         427     1.64674     2.00467   0.0255167
         428     1.64678     2.00383   0.0254708
         429     1.64687       2.003    0.025425
         430     1.64702     2.00217   0.0253793
         431     1.64723     2.00135   0.0253338
         432     1.64751     2.00053   0.0252884
         433     1.64785     1.99971   0.0252431
         434     1.64826      1.9989   0.0251979
         435     1.64874      1.9981   0.0251529
         436     1.64928      1.9973   0.0251079
         437     1.64989      1.9965    0.025063
         438     1.65058     1.99571   0.0250182
         439     1.65134     1.99493   0.0249736
         440     1.65218     1.99415   0.0249289
         441     1.65309     1.99338   0.0248844
         442     1.65408     1.99261   0.0248399
         443     1.65515     1.99185   0.0247956
         444     1.65629     1.99109   0.0247512
         445     1.65752     1.99034   0.0247069
         446     1.65882      1.9896   0.0246627
         447     1.66021     1.98886   0.0246186
         448     1.66167     1.98813   0.0245744
         449     1.66322     1.98741   0.0245304
         450     1.66485     1.98669   0.0244863
         451     1.66656     1.98598   0.0244423
         452     1.66834     1.98528   0.0243983
         453      1.6702     1.98458   0.0243544
