#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         234    -4.95707    -5.63551   0.0377007
         235    -4.95932    -5.63263     0.03765
         236    -4.96106    -5.62979   0.0375978
         237    -4.96335    -5.62698   0.0375442
         238    -4.96514     -5.6242   0.0374893
         239    -4.96672    -5.62144   0.0374332
         240    -4.96824    -5.61872    0.037376
         241    -4.96987    -5.61603   0.0373178
         242    -4.97159    -5.61337   0.0372585
         243     -4.9728    -5.61073   0.0371983
         244    -4.97426    -5.60812   0.0371372
         245    -4.97582    -5.60554   0.0370752
         246    -4.97688    -5.60299   0.0370124
         247    -4.97864    -5.60046   0.0369488
         248    -4.98005    -5.59796   0.0368844
         249    -4.98142    -5.59548   0.0368193
         250    -4.98274    -5.59303   0.0367535
         251    -4.98401     -5.5906   0.0366871
         252    -4.98525     -5.5882   0.0366201
         253    -4.98645    -5.58582   0.0365525
         254    -4.98715    -5.58347   0.0364845
         255    -4.98782    -5.58113   0.0364161
         256    -4.98906    -5.57882   0.0363472
         257    -4.98997    -5.57653   0.0362779
         258    -4.99054    -5.57426   0.0362084
         259    -4.99109      -5.572   0.0361385
         260    -4.99222    -5.56977   0.0360682
         261    -4.99302    -5.56756   0.0359977
         262     -4.9938    -5.56537   0.0359268
         263    -4.99487     -5.5632   0.0358556
         264    -4.99592    -5.56106   0.0357842
         265    -4.99649    -5.55893   0.0357125
         266    -4.99706    -5.55681   0.0356406
         267    -4.99761    -5.55472   0.0355686
         268    -4.99845    -5.55264   0.0354964
         269    -4.99898    -5.55058   0.0354241
         270     -4.9995    -5.54854   0.0353516
         271    -5.00001    -5.54652   0.0352791
         272    -5.00021    -5.54451   0.0352065
         273    -5.00101    -5.54252   0.0351338
         274     -5.0021    -5.54055   0.0350609
         275    -5.00244    -5.53859    0.034988
         276    -5.00292    -5.53665    0.034915
         277    -5.00324    -5.53472    0.034842
         278    -5.00401    -5.53282   0.0347689
         279    -5.00478    -5.53092   0.0346958
         280    -5.00554    -5.52905   0.0346226
         281    -5.00615    -5.52719   0.0345493
         282    -5.00675    -5.52534   0.0344761
         283    -5.00734    -5.52351   0.0344028
         284    -5.00793    -5.52169   0.0343295
         285    -5.00851    -5.51989   0.0342563
         286    -5.00938    -5.51811    0.034183
         287    -5.00995    -5.51634   0.0341097
         288     -5.0102    -5.51458   0.0340365
         289    -5.01076    -5.51284   0.0339633
         290    -5.01115    -5.51111   0.0338903
         291    -5.01168    -5.50939   0.0338172
