#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         365    -3.35517    -3.35019  0.00049573
         366    -3.35511    -3.35021 0.000494558
         367     -3.3546    -3.35022 0.000493355
         368     -3.3547    -3.35023 0.000492165
         369    -3.35434    -3.35024 0.000490957
         370    -3.35428    -3.35025 0.000489751
         371    -3.35453    -3.35026 0.000488566
         372    -3.35447    -3.35028 0.000487384
         373    -3.35412    -3.35029 0.000486186
         374    -3.35406     -3.3503 0.000484991
         375    -3.35356    -3.35031 0.000483775
         376    -3.35381    -3.35031 0.000482579
         377    -3.35362    -3.35032 0.000481378
         378    -3.35327    -3.35033 0.000480168
         379    -3.35338    -3.35034 0.000478968
         380    -3.35304    -3.35035  0.00047776
         381      -3.353    -3.35035 0.000476557
         382    -3.35266    -3.35036 0.000475348
         383    -3.35278    -3.35037 0.000474149
         384    -3.35275    -3.35037 0.000472955
         385    -3.35288    -3.35038 0.000471771
         386    -3.35225    -3.35038 0.000470573
         387    -3.35178    -3.35039 0.000469371
         388    -3.35176    -3.35039 0.000468175
         389     -3.3519    -3.35039 0.000466987
         390    -3.35158     -3.3504   0.0004658
         391    -3.35158     -3.3504 0.000464618
         392    -3.35157     -3.3504 0.000463443
         393    -3.35157    -3.35041 0.000462273
         394    -3.35157    -3.35041 0.000461109
         395    -3.35157    -3.35041 0.000459951
         396    -3.35158    -3.35041 0.000458799
         397    -3.35174    -3.35042 0.000457655
         398    -3.35175    -3.35042 0.000456518
         399    -3.35191    -3.35043 0.000455389
         400    -3.35223    -3.35043 0.000454273
         401     -3.3521    -3.35043 0.000453159
         402    -3.35196    -3.35044 0.000452047
         403    -3.35199    -3.35044 0.000450942
         404    -3.35186    -3.35045  0.00044984
         405    -3.35204    -3.35045 0.000448746
         406    -3.35192    -3.35045 0.000447655
         407     -3.3521    -3.35046 0.000446574
         408    -3.35183    -3.35046 0.000445492
         409    -3.35186    -3.35046 0.000444416
         410    -3.35159    -3.35047  0.00044334
         411    -3.35178    -3.35047 0.000442273
         412    -3.35182    -3.35047 0.000441212
         413    -3.35186    -3.35048 0.000440156
         414     -3.3519    -3.35048 0.000439107
         415    -3.35194    -3.35048 0.000438063
         416    -3.35153    -3.35049 0.000437017
         417    -3.35142    -3.35049 0.000435975
         418    -3.35132    -3.35049 0.000434936
         419    -3.35122    -3.35049 0.000433902
         420    -3.35126    -3.35049 0.000432872
         421    -3.35131     -3.3505 0.000431849
         422    -3.35136     -3.3505  0.00043083
         423    -3.35141     -3.3505 0.000429817
         424    -3.35162     -3.3505 0.000428811
         425    -3.35167    -3.35051 0.000427811
         426    -3.35173    -3.35051 0.000426817
         427    -3.35163    -3.35051 0.000425825
         428    -3.35169    -3.35051 0.000424839
         429     -3.3519    -3.35052 0.000423861
         430    -3.35212    -3.35052 0.000422892
         431    -3.35233    -3.35052 0.000421932
         432    -3.35255    -3.35053 0.000420981
         433    -3.35276    -3.35053  0.00042004
         434    -3.35268    -3.35054 0.000419102
         435     -3.3526    -3.35054 0.000418165
         436    -3.35221    -3.35055 0.000417223
         437    -3.35214    -3.35055 0.000416284
         438    -3.35221    -3.35056 0.000415351
